experiment_id,model_name,episodes,wins,winrate,avg_returns,std_returns,avg_episode_steps,std_episode_steps,avg_win_steps,std_win_steps,final_epsilon,epsilon_start,scenario,algorithm,timestamp
exp_001,Model_1,6000,33,0.825,-90.925,99.499,24.945,0.739,18.303,4.655,0.3,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_002,Model_2,6000,508,10.16,11.76,332.334,23.206,5.492,7.346,4.103,0.25,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_003,Model_3,6000,44,1.1,-87.9,114.733,24.877,1.348,13.773,6.36,0.3,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_004,Model_4,6000,63,1.575,-82.675,136.957,24.812,1.747,13.048,7.295,0.3,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_005,Model_5,6000,432,8.64,-4.96,309.049,23.518,4.999,7.85,4.528,0.25,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_006,Model_6,6000,47,1.175,-87.075,118.535,24.883,1.311,15.0,6.888,0.3,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_007,Model_7,6000,462,9.24,1.64,318.549,23.398,5.182,7.658,4.207,0.25,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_008,Model_8,6000,13,0.433,-95.233,72.254,24.969,0.616,17.769,5.963,0.35,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_009,Model_9,6000,141,3.525,-61.225,202.852,24.424,3.164,8.645,5.094,0.3,0.5,tiny,q_learning,2025-07-13_15-41-26
exp_010,Model_10,6000,65,1.625,-82.125,139.079,24.819,1.599,13.846,5.905,0.3,0.5,tiny,q_learning,2025-07-13_15-41-26
